iter	Passed	Remaining
773	30838	9004
774	30874	8963
775	30910	8922
776	30942	8880
777	30979	8839
778	31017	8799
779	31072	8764
780	31118	8726
781	31164	8687
782	31215	8650
783	31249	8609
784	31283	8568
785	31316	8526
786	31349	8484
787	31381	8442
788	31415	8401
789	31449	8359
790	31484	8318
791	31520	8278
792	31555	8236
793	31590	8195
794	31626	8155
795	31662	8114
796	31695	8072
797	31728	8031
798	31762	7990
799	31791	7947
800	31825	7906
801	31863	7866
802	31892	7824
803	31923	7782
804	31960	7741
805	31994	7700
806	32030	7660
807	32067	7620
808	32107	7580
809	32142	7539
810	32174	7498
811	32207	7456
812	32242	7416
813	32275	7374
814	32307	7333
815	32339	7292
816	32370	7250
817	32404	7209
818	32439	7169
819	32473	7128
820	32508	7087
821	32544	7047
822	32579	7006
823	32615	6966
824	32653	6926
825	32689	6886
826	32726	6846
827	32765	6806
828	32815	6768
829	32871	6732
830	32926	6696
831	32985	6660
832	33035	6623
833	33084	6585
834	33123	6545
835	33161	6505
836	33197	6464
837	33231	6424
838	33265	6383
839	33299	6342
840	33333	6302
841	33368	6261
842	33404	6221
843	33440	6180
844	33475	6140
845	33509	6099
846	33545	6059
847	33583	6019
848	33617	5979
849	33651	5938
850	33687	5898
851	33734	5859
852	33786	5822
853	33835	5784
854	33882	5746
855	33923	5706
856	33957	5666
857	33990	5625
858	34026	5585
859	34059	5544
860	34091	5503
861	34124	5463
862	34159	5422
863	34194	5382
864	34229	5342
865	34265	5302
866	34299	5261
867	34332	5221
868	34365	5180
869	34399	5140
870	34434	5099
871	34466	5059
872	34501	5019
873	34534	4978
874	34573	4939
875	34608	4898
876	34642	4858
877	34671	4817
878	34704	4777
879	34738	4737
880	34772	4696
881	34806	4656
882	34840	4616
883	34875	4576
884	34909	4536
885	34945	4496
886	34977	4456
887	35012	4416
888	35047	4376
889	35080	4335
890	35113	4295
891	35149	4255
892	35180	4215
893	35212	4175
894	35247	4135
895	35281	4095
896	35315	4055
897	35347	4014
898	35380	3974
899	35413	3934
900	35445	3894
901	35480	3854
902	35514	3814
903	35550	3775
904	35588	3735
905	35621	3695
906	35657	3656
907	35691	3616
908	35725	3576
909	35761	3536
910	35796	3497
911	35831	3457
912	35867	3417
913	35905	3378
914	35951	3339
915	35989	3300
916	36024	3260
917	36057	3220
918	36092	3181
919	36124	3141
920	36159	3101
921	36192	3061
922	36227	3022
923	36264	2982
924	36300	2943
925	36332	2903
926	36366	2863
927	36398	2824
928	36430	2784
929	36465	2744
930	36501	2705
931	36551	2666
932	36608	2628
933	36657	2590
934	36704	2551
935	36754	2513
936	36802	2474
937	36840	2435
938	36879	2395
939	36917	2356
940	36951	2316
941	36988	2277
942	37023	2237
943	37055	2198
944	37090	2158
945	37128	2119
946	37162	2079
947	37198	2040
948	37233	2000
949	37264	1961
950	37297	1921
951	37329	1882
952	37360	1842
953	37395	1803
954	37428	1763
955	37460	1724
956	37494	1684
957	37527	1645
958	37560	1605
959	37597	1566
960	37636	1527
961	37675	1488
962	37722	1449
963	37769	1410
964	37818	1371
965	37868	1332
966	37925	1294
967	37980	1255
968	38036	1216
969	38087	1177
970	38135	1138
971	38178	1099
972	38224	1060
973	38276	1021
974	38322	982
975	38373	943
976	38420	904
977	38472	865
978	38517	826
979	38564	787
980	38612	747
981	38664	708
982	38725	669
983	38792	630
984	38850	591
985	38900	552
986	38947	512
987	38991	473
988	39035	434
989	39077	394
990	39122	355
991	39165	315
992	39210	276
993	39254	236
994	39298	197
995	39344	158
996	39390	118
997	39437	79
998	39486	39
999	39529	0
